ticker,name,market,sector,industry,currency,score,metric_coverage,market_cap,roe,operating_margin,revenue_growth,earnings_growth,pe,pb,dividend_yield,debt_to_equity
MSFT,Microsoft,us,Technology,Software - Infrastructure,USD,0.6225455510285232,8,2860690440192.0,0.34013999,0.46326,0.183,0.234,22.93627,6.9042797,0.95,30.271
NFLX,Netflix,us,Communication Services,Entertainment,USD,0.6203947368421052,7,308946305024.0,0.48494998,0.32303002,0.162,0.864,23.667744,9.9296255,,53.788
6465.T,ホシザキ,japan,Industrials,Specialty Industrial Machinery,JPY,0.6185743321718932,8,764658122752.0,0.10029,0.12561,0.147,0.037,20.492107,1.9850956,2.08,1.697
PEP,PepsiCo,us,Consumer Defensive,Beverages - Non-Alcoholic,USD,0.6167870657034744,8,187661090816.0,0.43879002,0.16961999,0.085,0.278,18.028872,8.788945,4.15,244.837
4385.T,メルカリ,japan,Consumer Cyclical,Internet Retail,JPY,0.614488143435512,7,789732065280.0,0.32965,0.24148001,0.223,1.026,27.547497,6.572883,,210.31
5713.T,住友金属鉱山,japan,Basic Materials,Other Industrial Metals & Mining,JPY,0.611111111111111,7,1953214627840.0,0.08695,0.14435,0.225,,11.198166,0.94862926,2.86,29.791
7936.T,アシックス,japan,Consumer Cyclical,Footwear & Accessories,JPY,0.6064029304029305,8,3246107656192.0,0.40855,0.22483,0.297,0.486,33.222084,10.261547,0.83,42.265
9022.T,東海旅客鉄道,japan,Industrials,Railroads,JPY,0.6062224157955864,8,3451761983488.0,0.114700004,0.27111,0.061,0.181,6.3451734,0.6824328,0.88,83.87
6702.T,富士通,japan,Technology,Information Technology Services,JPY,0.6058424034894622,6,5806299807744.0,0.15623,0.14269,,,19.15746,2.867431,1.64,6.51
GOOGL,Alphabet,us,Communication Services,Internet Content & Information,USD,0.604375,8,4358514933760.0,0.38884997,0.36121,0.218,0.82,27.244852,9.039328,0.25,20.026
7741.T,HOYA,japan,Healthcare,Medical Instruments & Supplies,JPY,0.5996175599623876,8,8354499395584.0,0.25062,0.27271,0.151,0.075,33.55682,8.210839,1.18,4.081
AMZN,Amazon,us,Consumer Cyclical,Internet Retail,USD,0.5985444380181222,7,2639149400064.0,0.24285,0.1314,0.166,0.748,29.311829,5.9703603,,53.3
PM,Philip Morris International,us,Consumer Defensive,Tobacco,USD,0.5967570441254652,5,283065450496.0,,0.36044,0.091,-0.093,25.580282,,3.25,
CB,Chubb,us,Financial Services,Insurance - Property & Casualty,USD,0.5955598290598291,8,134909370368.0,0.15433,0.20641,0.102,0.787,12.299504,1.83133,1.17,31.458
FCX,Freeport-McMoRan,us,Basic Materials,Copper,USD,0.5926470588235294,8,88438677504.0,0.15630999,0.31072,0.088,1.531,32.550266,4.532528,0.98,33.008
CME,CME Group,us,Financial Services,Financial Data & Stock Exchanges,USD,0.5921737891737892,8,86815023104.0,0.15919,0.69806,0.144,0.213,20.483377,3.265736,2.16,14.059
9201.T,日本航空,japan,Industrials,Airlines,JPY,0.5910743321718932,8,1265627693056.0,0.12286,0.02497,0.071,0.246,9.596831,0.98138124,3.26,65.623
9503.T,関西電力,japan,Utilities,Utilities - Renewable,JPY,0.5900000000000001,8,2526680711168.0,0.11607,0.044949997,-0.065,-0.314,6.648882,0.73127437,3.53,121.946
GILD,Gilead Sciences,us,Healthcare,Drug Manufacturers - General,USD,0.588544166561408,8,161193017344.0,0.4336,0.39282,0.044,0.548,18.33757,6.857339,2.53,94.635
9766.T,コナミグループ,japan,Communication Services,Electronic Gaming & Multimedia,JPY,0.5872916666666667,8,2511861448704.0,0.19115,0.23582001,0.27,1.216,25.125765,4.449419,1.21,7.074
INTU,Intuit,us,Technology,Software - Application,USD,0.5857405988984936,8,75211726848.0,0.22496,0.46974,0.104,0.107,16.776083,3.655654,1.75,33.448
ADBE,Adobe,us,Technology,Software - Application,USD,0.5824974960546087,7,88896897024.0,0.62953997,0.35327998,0.127,0.079,12.786736,7.7472544,,61.443
PGR,Progressive,us,Financial Services,Insurance - Property & Casualty,USD,0.5808703703703704,8,134325182464.0,0.37903,0.16393,0.087,0.098,11.735504,4.205538,6.06,26.174
2801.T,キッコーマン,japan,Consumer Defensive,Packaged Foods,JPY,0.5786893704850362,8,1500064645120.0,0.11459,0.08737001,0.111,0.23,24.508024,2.6742783,1.54,10.799
PG,Procter & Gamble,us,Consumer Defensive,Household & Personal Products,USD,0.5780873753009976,8,342397190144.0,0.31112,0.23047,0.074,0.058,21.497074,6.370608,2.9,67.651
LLY,Eli Lilly,us,Healthcare,Drug Manufacturers - General,USD,0.5768823768823769,8,1059905929216.0,1.07459,0.49386,0.555,1.699,42.19311,34.04015,0.57,139.015
6326.T,クボタ,japan,Industrials,Farm & Heavy Construction Machinery,JPY,0.576033681765389,8,3056050110464.0,0.08871,0.12104,0.137,0.792,16.61157,1.1481777,1.92,79.694
4543.T,テルモ,japan,Healthcare,Medical Instruments & Supplies,JPY,0.5749226348364279,8,3228956622848.0,0.09205,0.17528999,0.138,0.436,23.752169,2.0378296,1.64,26.968
GD,General Dynamics,us,Industrials,Aerospace & Defense,USD,0.5696341463414635,8,101427544064.0,0.17974001,0.10541,0.103,0.12,23.58868,3.8833725,1.7,37.701
6273.T,SMC,japan,Industrials,Specialty Industrial Machinery,JPY,0.5695934959349593,8,4750993522688.0,0.08274999,0.22783001,0.154,0.282,28.653328,2.255894,1.32,0.241
KO,Coca-Cola,us,Consumer Defensive,Beverages - Non-Alcoholic,USD,0.5693326453388373,8,359214252032.0,0.43372002,0.35055,0.121,0.182,26.254715,10.681934,2.54,124.943
JPM,JPMorgan Chase,us,Financial Services,Banks - Diversified,USD,0.5692877492877492,7,901575147520.0,0.16465001,0.43741,0.127,0.172,16.10675,2.6209116,1.79,
ICE,Intercontinental Exchange,us,Financial Services,Financial Data & Stock Exchanges,USD,0.5687179487179488,8,76491218944.0,0.13853,0.57306,0.204,0.797,19.6885,2.5971081,1.54,70.986
MCD,McDonald's,us,Consumer Cyclical,Restaurants,USD,0.5646753246753246,5,195104915456.0,,0.44252998,0.094,0.069,22.61944,,2.69,
6301.T,小松製作所,japan,Industrials,Farm & Heavy Construction Machinery,JPY,0.5635511033681766,8,5715885817856.0,0.113900006,0.12448,0.061,-0.156,15.455819,1.641385,2.97,38.494
ADI,Analog Devices,us,Technology,Semiconductors,USD,0.563349542683908,8,192715980800.0,0.09639,0.38076,0.372,1.105,58.789005,5.71146,1.12,25.81
